Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (mnd);Minimumstemperatur (mnd)
Kise På Hedmark;SN12550;02.2021;9.5;-18.7
Kise På Hedmark;SN12550;03.2021;16.1;-7.3
Kise På Hedmark;SN12550;04.2021;16.6;-6.8
Kise På Hedmark;SN12550;05.2021;25.5;-3.9
Kise På Hedmark;SN12550;06.2021;25.6;5.5
Kise På Hedmark;SN12550;07.2021;30.1;6.1
Kise På Hedmark;SN12550;08.2021;24.1;4.9
Kise På Hedmark;SN12550;09.2021;26.2;1.2
Kise På Hedmark;SN12550;10.2021;15.5;-3.2
Kise På Hedmark;SN12550;11.2021;11.4;-14.2
Kise På Hedmark;SN12550;12.2021;7.4;-16.4
Kise På Hedmark;SN12550;01.2022;11.3;-16.4
Kise På Hedmark;SN12550;02.2022;7.3;-16.9
Kise På Hedmark;SN12550;03.2022;14.3;-12.3
Kise På Hedmark;SN12550;04.2022;19.3;-5.9
Kise På Hedmark;SN12550;05.2022;19.8;-2.3
Kise På Hedmark;SN12550;06.2022;28.1;3.6
Kise På Hedmark;SN12550;07.2022;27.8;6.7
Kise På Hedmark;SN12550;08.2022;28.8;5.7
Kise På Hedmark;SN12550;09.2022;19.1;-0.1
Kise På Hedmark;SN12550;10.2022;16.2;-2.5
Kise På Hedmark;SN12550;11.2022;16.3;-5.8
Kise På Hedmark;SN12550;12.2022;5.7;-19.8
Kise På Hedmark;SN12550;01.2023;7;-21.5
Kise På Hedmark;SN12550;02.2023;8.2;-16.6
Kise På Hedmark;SN12550;03.2023;9;-19
Kise På Hedmark;SN12550;04.2023;15.1;-8
Kise På Hedmark;SN12550;05.2023;25;-2.9
Kise På Hedmark;SN12550;06.2023;30.7;2.9
Kise På Hedmark;SN12550;07.2023;26.3;6.8
Kise På Hedmark;SN12550;08.2023;23;7.9
Kise På Hedmark;SN12550;09.2023;25;1.9
Kise På Hedmark;SN12550;10.2023;16.8;-4.9
Kise På Hedmark;SN12550;11.2023;4.9;-12.6
Kise På Hedmark;SN12550;12.2023;4.9;-19.5
Kise På Hedmark;SN12550;01.2024;7.3;-29.4
Kise På Hedmark;SN12550;02.2024;7.1;-28.8
Kise På Hedmark;SN12550;03.2024;9.7;-10
Kise På Hedmark;SN12550;04.2024;17;-7.8
Kise På Hedmark;SN12550;05.2024;25.9;3.8
Kise På Hedmark;SN12550;06.2024;25.7;4
Kise På Hedmark;SN12550;07.2024;26.5;6.5
Kise På Hedmark;SN12550;08.2024;24.9;6.3
Kise På Hedmark;SN12550;09.2024;22;-1
Kise På Hedmark;SN12550;10.2024;15.7;-1.1
Kise På Hedmark;SN12550;11.2024;13.7;-8.5
Kise På Hedmark;SN12550;12.2024;10;-13.6
Kise På Hedmark;SN12550;06.1997;-;4.6
Kise På Hedmark;SN12550;07.1997;-;7.4
Kise På Hedmark;SN12550;08.1997;-;0
Kise På Hedmark;SN12550;09.1997;-;1
Data er gyldig per 17.09.2025 (CC BY 4.0). Meteorologisk institutt (MET);;;;
